commune_fr;commune_ar;quartier_fr;quartier_ar;statut
Mahelma;محالمة;Les Vergers;البساتين;a_valider
Mahelma;محالمة;Cité AADL;حي عدل;a_valider
Mahelma;محالمة;Zone Agricole;المنطقة الفلاحية;a_valider
Mahelma;محالمة;Quartier des Villas;حي الفيلات;a_valider
Mahelma;محالمة;Les Sources;العيون;a_valider
Mahelma;محالمة;Sidi Abdellah;سيدي عبد الله;verifie
Rahmania;الرحمانية;Rahmania Centre;الرحمانية – الوسط;verifie
Rahmania;الرحمانية;Cité AADL;حي عدل;a_valider
Rahmania;الرحمانية;Les Vergers;البساتين;a_valider
Rahmania;الرحمانية;Coopérative El Bahia;تعاونية الباهية;a_valider
Rahmania;الرحمانية;Haï El Feth;حي الفتح;a_valider
Rahmania;الرحمانية;Les Jardins;الحدائق;a_valider
Rahmania;الرحمانية;Les Terrasses;المصاطب;a_valider
Rahmania;الرحمانية;Zone Agricole;المنطقة الفلاحية;a_valider
Hammamet;الحمامات;Hammamet Centre;الحمامات – الوسط;verifie
Hammamet;الحمامات;Résidences de Hammamet;إقامات الحمامات;a_valider
Hammamet;الحمامات;Les Jardins;الحدائق;a_valider
Hammamet;الحمامات;Quartier des Villas;حي الفيلات;a_valider
Hammamet;الحمامات;Cité AADL;حي عدل;a_valider
Hammamet;الحمامات;Les Vergers;البساتين;a_valider
Hammamet;الحمامات;Baïnem;باينام;verifie
Zéralda;زرالدة;Zéralda Centre;زرالدة – الوسط;verifie
Zéralda;زرالدة;Sidi Abdellah;سيدي عبد الله;verifie
Zéralda;زرالدة;Les Dunes;الكثبان الرملية;a_valider
Zéralda;زرالدة;Les Sables;الرمال;a_valider
Zéralda;زرالدة;Quartier des Villas;حي الفيلات;a_valider
Zéralda;زرالدة;Cité AADL;حي عدل;a_valider
Zéralda;زرالدة;Haï El Feth;حي الفتح;a_valider
Zéralda;زرالدة;Station Balnéaire;المحطة الشاطئية;verifie
Zéralda;زرالدة;Front de Mer;الواجهة البحرية;a_valider
Zéralda;زرالدة;Domaine Universitaire;الحرم الجامعي;verifie
Staouéli;سطاوالي;Staouéli Centre;سطاوالي – الوسط;verifie
Staouéli;سطاوالي;Palm Beach;بالم بيتش;verifie
Staouéli;سطاوالي;Sidi Fredj;سيدي فرج;verifie
Staouéli;سطاوالي;Moretti;موريتي;verifie
Staouéli;سطاوالي;Club des Pins;نادي الصنوبر;verifie
Staouéli;سطاوالي;Les Dunes;الكثبان الرملية;a_valider
Staouéli;سطاوالي;Front de Mer;الواجهة البحرية;a_valider
Staouéli;سطاوالي;Quartier Touristique;الحي السياحي;verifie
Staouéli;سطاوالي;Cité AADL;حي عدل;a_valider
Staouéli;سطاوالي;Les Villas;الفيلات;a_valider
Aïn Benian;عين البنيان;Aïn Benian Centre;عين البنيان – الوسط;verifie
Aïn Benian;عين البنيان;La Madrague;المدراق;verifie
Aïn Benian;عين البنيان;El Djamila;الجميلة;verifie
Aïn Benian;عين البنيان;Plage Ouest;الشاطئ الغربي;verifie
Aïn Benian;عين البنيان;Front de Mer;الواجهة البحرية;a_valider
Aïn Benian;عين البنيان;Les Villas;الفيلات;a_valider
Aïn Benian;عين البنيان;Cité AADL;حي عدل;a_valider
Aïn Benian;عين البنيان;Les Dunes;الكثبان الرملية;a_valider
Douéra;الدويرة;Douéra Centre;الدويرة – الوسط;verifie
Douéra;الدويرة;Cité AADL;حي عدل;a_valider
Douéra;الدويرة;Cité EPLF;حي الترقية العقارية;a_valider
Douéra;الدويرة;Haï El Feth;حي الفتح;a_valider
Douéra;الدويرة;Les Vergers;البساتين;a_valider
Douéra;الدويرة;Les Sources;العيون;a_valider
Douéra;الدويرة;Coopérative El Bahia;تعاونية الباهية;a_valider
Douéra;الدويرة;Zone Industrielle;المنطقة الصناعية;a_valider
Douéra;الدويرة;Les Jardins;الحدائق;a_valider
Baba Hassen;بابا حسن;Baba Hassen Centre;بابا حسن – الوسط;verifie
Baba Hassen;بابا حسن;Les Vergers;البساتين;a_valider
Baba Hassen;بابا حسن;Cité AADL;حي عدل;a_valider
Baba Hassen;بابا حسن;Coopérative El Wiam;تعاونية الوئام;a_valider
Baba Hassen;بابا حسن;Haï El Badr;حي البدر;a_valider
Baba Hassen;بابا حسن;Zone Artisanale;المنطقة الحرفية;a_valider
Baba Hassen;بابا حسن;Les Villas;الفيلات;a_valider
Baba Hassen;بابا حسن;Sebbala Ouest;السبالة الغربية;a_valider
Khraïcia;خرايسية;Khraïcia Centre;خرايسية – الوسط;verifie
Khraïcia;خرايسية;Cité AADL;حي عدل;a_valider
Khraïcia;خرايسية;Les Vergers;البساتين;a_valider
Khraïcia;خرايسية;Les Jardins;الحدائق;a_valider
Khraïcia;خرايسية;Coopérative El Bahia;تعاونية الباهية;a_valider
Khraïcia;خرايسية;Zone Agricole;المنطقة الفلاحية;a_valider
Khraïcia;خرايسية;Quartier des Villas;حي الفيلات;a_valider
Khraïcia;خرايسية;Les Sources;العيون;a_valider
Baraki;براقي;Baraki Centre;براقي – الوسط;verifie
Baraki;براقي;Sidi Rabah;سيدي رابح;a_valider
Baraki;براقي;Haï El Feth;حي الفتح;a_valider
Baraki;براقي;Cité AADL;حي عدل;a_valider
Baraki;براقي;Cité EPLF;حي الترقية العقارية;a_valider
Baraki;براقي;Les Vergers;البساتين;a_valider
Baraki;براقي;Zone Industrielle;المنطقة الصناعية;a_valider
Baraki;براقي;Quartier de la Gare;حي المحطة;a_valider
Baraki;براقي;Cité Sonelgaz;حي سونلغاز;a_valider
Les Eucalyptus;الكاليتوس;Les Eucalyptus Centre;الكاليتوس – الوسط;verifie
Les Eucalyptus;الكاليتوس;El Kerma;الكرمة;a_valider
Les Eucalyptus;الكاليتوس;Cité AADL;حي عدل;a_valider
Les Eucalyptus;الكاليتوس;Les Vergers;البساتين;a_valider
Les Eucalyptus;الكاليتوس;Haï El Feth;حي الفتح;a_valider
Les Eucalyptus;الكاليتوس;Zone Artisanale;المنطقة الحرفية;a_valider
Les Eucalyptus;الكاليتوس;Les Sources;العيون;a_valider
Sidi Moussa;سيدي موسى;Sidi Moussa Centre;سيدي موسى – الوسط;verifie
Sidi Moussa;سيدي موسى;Haï El Feth;حي الفتح;a_valider
Sidi Moussa;سيدي موسى;Cité AADL;حي عدل;a_valider
Sidi Moussa;سيدي موسى;Les Vergers;البساتين;a_valider
Sidi Moussa;سيدي موسى;Coopérative El Bahia;تعاونية الباهية;a_valider
Sidi Moussa;سيدي موسى;Zone Agricole;المنطقة الفلاحية;a_valider
Sidi Moussa;سيدي موسى;Les Jardins;الحدائق;a_valider
Sidi Moussa;سيدي موسى;Quartier des Villas;حي الفيلات;a_valider
El Harrach;الحراش;El Harrach Centre;الحراش – الوسط;verifie
El Harrach;الحراش;Belfort;بلفور;verifie
El Harrach;الحراش;Cinq Maisons;سانك ميزون;verifie
El Harrach;الحراش;La Faïence;لافايانس;verifie
El Harrach;الحراش;Gare d'El Harrach;محطة الحراش;verifie
El Harrach;الحراش;Cité PLM;حي PLM;a_valider
El Harrach;الحراش;Beaulieu;بوليو;verifie
El Harrach;الحراش;Quartier du Marché;حي السوق;verifie
El Harrach;الحراش;Quartier Universitaire;الحي الجامعي;a_valider
Bourouba;بوروبة;Bourouba Centre;بوروبة – الوسط;verifie
Bourouba;بوروبة;Les Bananiers;حي الموز;a_valider
Bourouba;بوروبة;Cité des 1200 Logements;حي 1200 مسكن;a_valider
Bourouba;بوروبة;Cité EPLF;حي الترقية العقارية;a_valider
Bourouba;بوروبة;Haï El Badr;حي البدر;a_valider
Bourouba;بوروبة;La Montagne;الجبل;a_valider
Bourouba;بوروبة;Quartier des Villas;حي الفيلات;a_valider
Bourouba;بوروبة;Les Vergers;البساتين;a_valider
Oued Smar;وادي السمار;Oued Smar Centre;وادي السمار – الوسط;verifie
Oued Smar;وادي السمار;Zone Industrielle;المنطقة الصناعية;a_valider
Oued Smar;وادي السمار;Cité EPLF;حي الترقية العقارية;a_valider
Oued Smar;وادي السمار;Cité AADL;حي عدل;a_valider
Oued Smar;وادي السمار;Haï El Feth;حي الفتح;a_valider
Oued Smar;وادي السمار;Les Vergers;البساتين;a_valider
Oued Smar;وادي السمار;Quartier de la Gare;حي المحطة;a_valider
Oued Smar;وادي السمار;Les Ateliers;الورشات;a_valider
